term,estimate_prob,ci.lb_prob,ci.ub_prob
intrcpt,0.9048718545125125,0.8748795521458586,0.9282642717143001
modalityadded tabular,0.3108913534748046,0.27661148189260326,0.34737940736601125
modalityct,0.4565469267100598,0.3402860084716644,0.5777432904373029
modalitydexa,0.36141418283372506,0.30911035747160964,0.4172236337445709
modalitymri,0.4529556132552659,0.4147497397611714,0.4917239141832301
modalityradiographs,0.48472552092400023,0.3503599543967441,0.6213361811052975
anatomyaxial,0.3772496254615275,0.24655663269404865,0.5286149081022611
anatomylower limb,0.5031235735146523,0.4580505204593832,0.5481459153887946
anatomyskull,0.5725661596507566,0.3010134945496253,0.8064543496813039
anatomyupper limb,0.5220641233581932,0.40869172695831824,0.633208002166216
validationexternal,0.5420495177568707,0.46077133077691595,0.6211495721049647
validationinternal,0.5523950299438641,0.4868732848861681,0.616146458956176
populationadults,0.5932595688851099,0.40769238889033366,0.7555484501518598
populationpaediatric,0.5665916864850588,0.3274059708653434,0.7783123145765227
