term,estimate_prob,ci.lb_prob,ci.ub_prob
intrcpt,0.9138039858927137,0.9002545658684624,0.9256648295017266
modalityadded tabular,0.6799888032070595,0.5838676310933909,0.7629225793311848
modalityct,0.5896682507409449,0.44143702136904817,0.7232259543039683
modalitydexa,0.5556635649013839,0.5247950700639602,0.5861083143136233
modalitymri,0.46654901134837806,0.41933980116036434,0.514365023876787
modalityradiographs,0.45006207100190837,0.39132396412446296,0.5102262193441567
anatomyaxial,0.480603133065042,0.4108151684064371,0.5511562936780823
anatomylower limb,0.5029352152240593,0.4510721432429593,0.554735201235142
anatomyskull,0.38258128934586155,0.28668906161554975,0.4885786556274558
anatomyupper limb,0.47598791033438403,0.41746852549157093,0.5351741685230946
validationexternal,0.5047022759823842,0.4617793356204086,0.5475560149731522
validationinternal,0.5078939958813501,0.3867775574489618,0.6280908504484689
populationadults,0.6193059131642124,0.48429316641837106,0.7380879949728877
populationpaediatric,0.4648437917722398,0.18312523239471248,0.7709354880408826
