subgroup,n_rows,est,ci_lb,ci_ub
spec_modality_radiographs,37,0.8946688910734668,0.8817272716777506,0.9063448293228074
spec_modality_ct,5,0.9359218916944586,0.8850461854945667,0.9651674423953439
spec_anatomy_axial,10,0.9195362814582835,0.8755684396578894,0.9488752575499593
spec_anatomy_lower_limb,12,0.9023725122384072,0.8708242883142635,0.9268629084211618
spec_anatomy_upper_limb,15,0.8857583833345501,0.8675635354195721,0.9017366491193046
spec_anatomy_skull,4,0.8706243048288004,0.7592868524690031,0.9348812105769608
spec_validation_internal,2,0.9093724967845839,0.73991611502813,0.972520784221882
spec_validation_external,11,0.8969999120753374,0.8845699403607087,0.908230238307135
spec_population_adults,5,0.9405911034286827,0.9129856967353372,0.9598240465942925
spec_population_paediatric,2,0.8844180664764774,0.5521560176417367,0.9793771011474866
