subgroup,n_meta,n_rows,estimate,ci_low,ci_high,pi_low,pi_high
Modality: radiographs,13,37,0.9052597393442307,0.8776820172302414,0.9271359899724836,0.7162017543298437,0.9731027962292408
Modality: CT,7,8,0.8662758715586364,0.8378958110177447,0.8903376302474226,0.8185684750157028,0.902926279887454
Anatomy: axial,8,13,0.8547906556618422,0.7954371175788909,0.8991072175824824,0.6410514099655891,0.950987697663058
Anatomy: lower limb,4,12,0.896662935290284,0.8489876460430588,0.9305187194160149,0.679110775745002,0.9726598872896598
Anatomy: upper limb,9,15,0.9125106366249417,0.8707376785411692,0.941688110368285,0.7159687265228358,0.9773528316196897
Anatomy: skull,4,4,0.9226301984233206,0.7613458744935415,0.9780585392536103,0.44173465742206713,0.994466516650161
Validation: internal,3,3,0.8945782460105102,0.8128377164252534,0.9431179386365569,0.7345218251194011,0.9629980100815716
Validation: external,4,12,0.9016432879628876,0.8722143395171179,0.9248784952886637,0.8050213927924309,0.953169469503726
Population: adults,3,5,0.9052206740272841,0.8703761803055972,0.931436388368075,0.8703761803003888,0.9314363883710232
Population: paediatric,2,2,0.9183769849847349,0.553274177640923,0.9903115462687725,0.47533519103108984,0.9928943411844106
