subgroup,n_meta,n_rows,estimate,ci_low,ci_high,pi_low,pi_high
Modality: radiographs,13,37,0.8946688910734668,0.8817272716777506,0.9063448293228074,0.8146795757284324,0.9425666371320023
Modality: CT,5,5,0.9359218916944586,0.8850461854945667,0.9651674423953439,0.7957005459534228,0.9820706179886494
Anatomy: axial,6,10,0.9195362814582835,0.8755684396578894,0.9488752575499593,0.7730237420714775,0.9745847451201585
Anatomy: lower limb,4,12,0.9023725122384072,0.8708242883142635,0.9268629084211618,0.7795958626425619,0.9602438931309436
Anatomy: upper limb,9,15,0.8857583833345501,0.8675635354195721,0.9017366491193046,0.8259623813476978,0.9268296407020876
Anatomy: skull,4,4,0.8706243048288004,0.7592868524690031,0.9348812105769608,0.6152375392685322,0.965894558865367
Validation: internal,2,2,0.9093724967845839,0.73991611502813,0.972520784221882,0.7399161149727044,0.9725207842295789
Validation: external,3,11,0.8969999120753374,0.8845699403607087,0.908230238307135,0.8845699403540985,0.9082302383125307
Population: adults,3,5,0.9405911034286827,0.9129856967353372,0.9598240465942925,0.9089553809258081,0.9616974248110469
Population: paediatric,2,2,0.8844180664764774,0.5521560176417367,0.9793771011474866,0.552156017607329,0.9793771011502971
